"unigram","bigram","freq"
"thank","retweet",12
"thank","tweet",12
"thank","we",12
"that","awkward",12
"that","make",12
"that","mean",12
"the","day",12
"the","word",12
"they","also",12
"think","one",12
"think","your",12
"time","go",12
"time","ive",12
"time","week",12
"to","the",12
"togeth","i",12
"u","love",12
"use","i",12
"wait","till",12
"washington","dc",12
"way","get",12
"we","like",12
"we","now",12
"well","just",12
"what","hell",12
"whole","thing",12
"will","bring",12
"will","happen",12
"will","keep",12
"will","live",12
"will","tri",12
"work","im",12
"work","the",12
"year","come",12
"year","sinc",12
"you","may",12
"you","must",12
"you","never",12
"your","gonna",12
"yr","old",12
"a","good",11
"a","man",11
"a","year",11
"almost","everi",11
"alreadi","i",11
"also","use",11
"and","thank",11
"anoth","one",11
"around","world",11
"at","end",11
"babi","girl",11
"back","day",11
"back","pleas",11
"back","work",11
"big","day",11
"bin","laden",11
"bit","i",11
"board","member",11
"came","home",11
"can","come",11
"can","easili",11
"can","follow",11
"can","play",11
"cant","make",11
"cant","stand",11
"class","i",11
"come","across",11
"come","visit",11
"coupl","day",11
"day","come",11
"day","go",11
"day","this",11
"day","weekend",11
"didnt","like",11
"die","i",11
"differ","i",11
"doesnt","matter",11
"doesnt","want",11
"doesnt","work",11
"dont","rememb",11
"earli","morn",11
"ever","get",11
"everyon","know",11
"excit","see",11
"facebook","page",11
"fast","food",11
"feel","littl",11
"feel","way",11
"final","i",11
"find","one",11
"follow","follow",11
"for","exampl",11
"four","year",11
"fuck","i",11
"full","time",11
"get","around",11
"get","done",11
"get","excit",11
"get","go",11
"get","real",11
"get","us",11
"go","give",11
"go","great",11
"go","im",11
"go","take",11
"go","the",11
"go","tri",11
"go","work",11
"good","bad",11
"good","stuff",11
"gotta","go",11
"gotta","love",11
"groceri","store",11
"had","great",11
"haha","im",11
"half","hour",11
"he","just",11
"hear","i",11
"home","work",11
"hope","your",11
"i","am",11
"i","care",11
"i","caught",11
"i","chang",11
"i","cri",11
"i","great",11
"i","head",11
"i","kid",11
"i","kinda",11
"i","manag",11
"i","meant",11
"i","serious",11
"i","tend",11
"i","time",11
"i","worri",11
"if","havent",11
"if","you",11
"ill","go",11
"ill","keep",11
"ill","see",11
"im","actual",11
"im","scare",11
"im","sick",11
"it","can",11
"just","anoth",11
"just","case",11
"just","read",11
"just","realiz",11
"just","two",11
"keep","go",11
"keep","post",11
"know","ill",11
"last","one",11
"later","week",11
"like","make",11
"like","say",11
"like","the",11
"littl","thing",11
"lol","the",11
"long","ago",11
"love","it",11
"love","us",11
"love","watch",11
"love","will",11
"make","card",11
"make","money",11
"make","think",11
"might","well",11
"month","old",11
"movi","i",11
"need","know",11
"need","stop",11
"need","take",11
"never","give",11
"noth","els",11
"now","ive",11
"now","just",11
"one","come",11
"one","go",11
"one","good",11
"one","greatest",11
"one","think",11
"page","i",11
"peopl","go",11
"pleas","let",11
"post","blog",11
"pretti","awesom",11
"project","i",11
"quit","bit",11
"realli","realli",11
"rest","us",11
"right","away",11
"rt","just",11
"see","tomorrow",11
"serious","i",11
"shop","i",11
"should","i",11
"so","now",11
"song","i",11
"still","work",11
"take","advantag",11
"tell","im",11
"thank","im",11
"thank","shout",11
"that","right",11
"that","true",11
"the","peopl",11
"the","state",11
"the","us",11
"think","go",11
"think","ill",11
"this","weekend",11
"this","will",11
"three","time",11
"time","day",11
"time","like",11
"time","one",11
"today","im",11
"today","will",11
"tonight","im",11
"tri","hard",11
"tri","i",11
"turn","i",11
"tv","show",11
"two","hour",11
"u","go",11
"use","one",11
"wait","hear",11
"wait","til",11
"want","someth",11
"want","take",11
"well","im",11
"well","one",11
"whenev","i",11
"white","hous",11
"will","announc",11
"will","definit",11
"will","just",11
"will","play",11
"will","win",11
"work","like",11
"you","just",11
"youll","get",11
"absolut","love",10
"actual","get",10
"and","just",10
"and","yes",10
"and","yet",10
"anoth","day",10
"answer","i",10
"as","alway",10
"back","time",10
"beauti","thing",10
"best","thing",10
"big","time",10
"black","white",10
"bring","us",10
"but","also",10
"by","time",10
"came","back",10
"can","becom",10
"can","put",10
"can","talk",10
"can","work",10
"care","less",10
"caus","im",10
"colleg","i",10
"common","sens",10
"coupl","month",10
"coupl","year",10
"cup","coffe",10
"day","if",10
"day","tomorrow",10
